BAFNAPH,Bafna Pharmaceuticals Ltd ,Healthcare,Pharmaceuticals
BAGFILMS,B A G Films & Media Ltd ,Media Entertainment & Publication,TV Broadcasting & Software Production
BAHETI,Baheti Recycling Industries Ltd,Metals & Mining,Aluminium
BAIDFIN,Baid Finserv Ltd,Financial Services,Non Banking Financial Company (NBFC)
BAJAJ-AUTO,Bajaj Auto Ltd ,Automobile and Auto Components,2/3 Wheelers
BAJAJCON,Bajaj Consumer Care Ltd,Fast Moving Consumer Goods,Personal Care
BAJAJELEC,Bajaj Electricals Ltd   ,Consumer Durables,Household Appliances
BAJAJFINSV,Bajaj Finserv Ltd ,Financial Services,Holding Company
BAJAJHCARE,Bajaj Healthcare Ltd,Healthcare,Pharmaceuticals
BAJAJHFL,Bajaj Housing Finance Ltd,Financial Services,Housing Finance Company
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,Sugar
BAJAJHLDNG,Bajaj Holdings & Investment Ltd ,Financial Services,Holding Company
BAJAJINDEF,Indef Manufacturing Ltd,Capital Goods,Industrial Products
BAJEL,Bajel Projects Ltd,Power,Integrated Power Utilities
BAJFINANCE,Bajaj Finance Limited,Financial Services,Non Banking Financial Company (NBFC)
BALAJEE,Shree Tirupati Balajee Agro Trading Company Ltd,Capital Goods,Packaging
BALAJIPHOS,Balaji Phosphates Ltd,Chemicals,Fertilizers
BALAJITELE,Balaji Telefilms Ltd ,Media Entertainment & Publication,Media & Entertainment
BALAMINES,Balaji Amines Ltd   ,Chemicals,Specialty Chemicals
BALAXI,Balaxi Pharmaceuticals Ltd,Healthcare,Pharmaceuticals
BALCO,Solve Plastic Products Ltd,Capital Goods,Plastic Products - Industrial
BALKRISHNA,Balkrishna Paper Mills Ltd,Forest Materials,Paper & Paper Products
BALKRISIND,Balkrishna Industries Ltd   ,Automobile and Auto Components,Tyres & Rubber Products
BALMLAWRIE,Balmer Lawrie & Co Ltd ,Diversified,Diversified
BALPHARMA,Bal Pharma Ltd ,Healthcare,Pharmaceuticals
BALRAMCHIN,Balrampur Chini Mills Ltd ,Fast Moving Consumer Goods,Sugar
BALUFORGE,Balu Forge Industries Ltd,Capital Goods,Castings & Forgings
BANARBEADS,Banaras Beads Ltd ,Consumer Durables,Gems- Jewellery And Watches
BANARISUG,Bannari Amman Sugars Ltd ,Fast Moving Consumer Goods,Sugar
BANCOINDIA,Banco Products (India) Ltd   ,Automobile and Auto Components,Auto Components & Equipments
BANDHANBNK,Bandhan Bank Ltd,Financial Services,Private Sector Bank
BANG,Bang Overseas Ltd ,Textiles,Garments & Apparels
BANKA,Banka Bioloo Ltd,Construction,Civil Construction
BANKBARODA,Bank Of Baroda,Financial Services,Public Sector Bank
BANKBEES,ETF,Z,Z
BANKBETF,ETF,Z,Z
BANKETF,ETF,Z,Z
BANKETFADD,ETF,Z,Z
BANKIETF,ETF,Z,Z
BANKINDIA,Bank Of India,Financial Services,Public Sector Bank
BANKNIFTY ,INDEX,Z,Z
BANKNIFTY1,ETF,Z,Z
BANKPSU,ETF,Z,Z
BANSALWIRE,Bansal Wire Industries Ltd,Capital Goods,Iron & Steel Products
BANSWRAS,Banswara Syntex Ltd   ,Textiles,Other Textile Products
BARBEQUE,Barbeque-Nation Hospitality Ltd,Consumer Services,Restaurants
BARFLEX,Barflex Polyfilms Ltd,Capital Goods,Other Industrial Products
BASF,Basf India Ltd ,Chemicals,Specialty Chemicals
BASILIC,Basilic Fly Studio Ltd,Media Entertainment & Publication,TV Broadcasting & Software Production
BASML,Bannari Amman Spinning Mills Ltd ,Textiles,Other Textile Products
BATAINDIA,Bata India Ltd ,Consumer Durables,Footwear
BAWEJA,Baweja Studios Ltd,Media Entertainment & Publication,TV Broadcasting & Software Production
BAYERCROP,Bayer Cropscience Ltd ,Chemicals,Pesticides & Agrochemicals
BBETF0432,ETF,Z,Z
BBL,Bharat Bijlee Ltd   ,Capital Goods,Other Electrical Equipment
BBNPNBETF,ETF,Z,Z
BBNPPGOLD,ETF,Z,Z
BBOX,Black Box Ltd,Information Technology,IT Enabled Services
BBTC,Bombay Burmah Trading Corp Ltd ,Fast Moving Consumer Goods,Packaged Foods
BBTCL,B&B Triplewall Containers Ltd,Capital Goods,Packaging
BCG,Brightcom Group Ltd,Information Technology,Software Products
BCLIND,Bcl Industries Ltd  ,Fast Moving Consumer Goods,Edible Oil
BCONCEPTS,Brand Concepts Ltd,Consumer Services,Speciality Retail
BDL,Bharat Dynamics Ltd,Capital Goods,Aerospace & Defense
BEACON,Beacon Trusteeship Ltd,Financial Services,Non Banking Financial Company (NBFC)
BEARDSELL,Beardsell Ltd,Capital Goods,Plastic Products - Industrial
BECTORFOOD,Mrs  Bectors Food Specialities Ltd,Fast Moving Consumer Goods,Packaged Foods
BEDMUTHA,Bedmutha Industries Ltd ,Capital Goods,Iron & Steel Products
BEL,Bharat Electronics Ltd ,Capital Goods,Aerospace & Defense
BELLACASA,Bella Casa Fashion & Retail Ltd,Textiles,Garments & Apparels
BELRISE,Belrise Industries Ltd,Automobile and Auto Components,Auto Components & Equipments
BEML,Beml Ltd ,Capital Goods,Construction Vehicles
BEPL,Bhansali Engineering Polymers Ltd   ,Chemicals,Specialty Chemicals
BERGEPAINT,Berger Paints India Ltd ,Consumer Durables,Paints
BESTAGRO,Best Agrolife Ltd,Chemicals,Pesticides & Agrochemicals
BETA,Beta Drugs Ltd,Healthcare,Pharmaceuticals
BEWLTD,Bew Engineering Ltd,Capital Goods,Industrial Products
BFINVEST,BF Investment Ltd ,Financial Services,Holding Company
BFSI,ETF,Z,Z
BFUTILITIE,BF Utilities Ltd   ,Services,Road Asset Toll Annuity Hybrid-Ann
BGLOBAL,Bharatiya Global Infomedia Ltd,Information Technology,Computers - Software & Consulting
BGRENERGY,BGR Energy Systems Ltd ,Construction,Civil Construction
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd ,Chemicals,Pesticides & Agrochemicals
BHAGERIA,Bhageria Industries Ltd,Chemicals,Dyes And Pigments
BHAGYANGR,Bhagyanagar India Ltd ,Metals & Mining,Copper
BHANDARI,Bhandari Hosiery Exports Ltd ,Textiles,Other Textile Products
BHARATFORG,Bharat Forge Ltd ,Automobile and Auto Components,Auto Components & Equipments
BHARATGEAR,Bharat Gears Ltd ,Automobile and Auto Components,Auto Components & Equipments
BHARATRAS,Bharat Rasayan Ltd ,Chemicals,Pesticides & Agrochemicals
BHARATSE,Bharat Seats Ltd,Automobile and Auto Components,Auto Components & Equipments
