,
Company,Market Cap (Cr)
IIFL Finance Ltd.,"20,316"
Bayer Cropscience Ltd.,"20,125"
Aegis Vopak Terminals Ltd.,"19,866"
Aadhar Housing Finance Ltd.,"19,826"
EIH Ltd.,"19,790"
Wockhardt Ltd.,"19,655"
KIOCL Ltd.,"19,630"
Pine Labs Ltd.,"19,599"
Sumitomo Chemical India Ltd.,"19,162"
Deepak Nitrite Ltd.,"19,004"
Acutaas Chemicals Ltd.,"18,900"
Netweb Technologies India Ltd.,"18,765"
HBL Engineering Ltd.,"18,662"
CreditAccess Grameen Ltd.,"18,657"
RBL Bank Ltd.,"18,608"
Data Patterns (India) Ltd.,"18,567"
Castrol India Ltd.,"18,531"
Atul Ltd.,"18,478"
Sarda Energy & Minerals Ltd.,"18,394"
KPIT Technologies Ltd.,"18,388"
Kalpataru Projects International Ltd.,"18,327"
Piramal Pharma Ltd.,"18,300"
Affle 3I Ltd.,"18,211"
City Union Bank Ltd.,"18,153"
CIE Automotive India Ltd.,"18,109"
Gujarat Mineral Development Corporation Ltd.,"18,086"
Emami Ltd.,"17,798"
Eris Lifesciences Ltd.,"17,760"
Sagility Ltd.,"17,658"
JSW Holdings Ltd.,"17,434"
Godawari Power & Ispat Ltd.,"17,410"
Chambal Fertilisers & Chemicals Ltd.,"17,358"
Redington Ltd.,"17,340"
Natco Pharma Ltd.,"17,201"
Jyoti CNC Automation Ltd.,"16,983"
Sundram Fasteners Ltd.,"16,980"
Urban Company Ltd.,"16,901"
OneSource Specialty Pharma Ltd.,"16,872"
Syngene International Ltd.,"16,668"
Anant Raj Ltd.,"16,664"
Belrise Industries Ltd.,"16,652"
Avanti Feeds Ltd.,"16,540"
Punjab & Sind Bank,"16,526"
Ratnamani Metals & Tubes Ltd.,"16,507"
DCM Shriram Ltd.,"16,441"
Craftsman Automation Ltd.,"16,404"
Tata Chemicals Ltd.,"16,376"
Brigade Enterprises Ltd.,"16,285"
Capri Global Capital Ltd.,"16,212"
Computer Age Management Services Ltd.,"16,040"
Emmvee Photovoltaic Power Ltd.,"16,018"
Chennai Petroleum Corporation Ltd.,"15,998"
JSW Cement Ltd.,"15,998"
Chalet Hotels Ltd.,"15,945"
Grindwell Norton Ltd.,"15,944"
Bharat Coking Coal Ltd.,"15,932"
R R Kabel Ltd.,"15,929"
KFIN Technologies Ltd.,"15,846"
NAVA Ltd.,"15,814"
Crompton Greaves Consumer Electricals Ltd.,"15,805"
ACME Solar Holdings Ltd.,"15,790"
Neuland Laboratories Ltd.,"15,454"
Vardhman Textiles Ltd.,"15,367"
Ventive Hospitality Ltd.,"15,319"
Firstsource Solutions Ltd.,"15,279"
Aarti Industries Ltd.,"15,180"
Bikaji Foods International Ltd.,"15,167"
Jain Resource Recycling Ltd.,"15,106"
Elgi Equipments Ltd.,"15,080"
LMW Ltd.,"15,072"
Aether Industries Ltd.,"15,068"
Syrma SGS Technology Ltd.,"15,031"
KEC International Ltd.,"15,018"
PG Electroplast Ltd.,"14,816"
Century Plyboards (India) Ltd.,"14,780"
Triveni Turbine Ltd.,"14,777"
IFCI Ltd.,"14,773"
Kajaria Ceramics Ltd.,"14,741"
Granules India Ltd.,"14,601"
Travel Food Services Ltd.,"14,532"
Carborundum Universal Ltd.,"14,530"
BASF India Ltd.,"14,472"
Anupam Rasayan India Ltd.,"14,393"
CCL Products India Ltd.,"14,390"
Maharashtra Scooters Ltd.,"14,383"
EID Parry (India) Ltd.,"14,317"
Vinati Organics Ltd.,"14,295"
International Gemmological Institute (India) Ltd.,"14,294"
Gujarat State Petronet Ltd.,"14,289"
Inox Wind Ltd.,"14,192"
Ceat Ltd.,"14,170"
V-Guard Industries Ltd.,"14,162"
KSB Ltd.,"14,116"
Fractal Analytics Ltd.,"14,097"
Amara Raja Energy & Mobility Ltd.,"14,071"
eClerx Services Ltd.,"13,888"
Canara HSBC Life Insurance Company Ltd.,"13,766"
Choice International Ltd.,"13,721"
Kansai Nerolac Paints Ltd.,"13,688"
DOMS Industries Ltd.,"13,653"
Sobha Ltd.,"13,653"
Sansera Engineering Ltd.,"13,611"
Leela Palaces Hotels & Resorts Ltd.,"13,567"
Jubilant Pharmova Ltd.,"13,534"
Jammu & Kashmir Bank Ltd.,"13,506"
Finolex Cables Ltd.,"13,455"
TD Power Systems Ltd.,"13,450"
Dr. Agarwals Health Care Ltd.,"13,448"
Gallantt Ispat Ltd.,"13,409"
LT Foods Ltd.,"13,373"
Shriram Pistons & Rings Ltd.,"13,280"
Aditya Birla Real Estate Ltd.,"13,256"
Zydus Wellness Ltd.,"13,199"
JBM Auto Ltd.,"13,137"
Alembic Pharmaceuticals Ltd.,"13,096"
Fine Organic Industries Ltd.,"13,093"
Techno Electric & Engineering Company Ltd.,"13,080"
Niva Bupa Health Insurance Company Ltd.,"13,009"
Zen Technologies Ltd.,"12,881"
Akzo Nobel India Ltd.,"12,865"
Zensar Technologies Ltd.,"12,857"
Devyani International Ltd.,"12,835"
Tega Industries Ltd.,"12,740"
BEML Ltd.,"12,733"
Rubicon Research Ltd.,"12,591"
Poly Medicure Ltd.,"12,558"
Kirloskar Brothers Ltd.,"12,446"
Jindal Saw Ltd.,"12,406"
Caplin Point Laboratories Ltd.,"12,382"
Supreme Petrochem Ltd.,"12,322"
Usha Martin Ltd.,"12,295"
Gabriel India Ltd.,"12,254"
UTI Asset Management Company Ltd.,"12,231"
Blue Dart Express Ltd.,"12,156"
Graphite India Ltd.,"12,155"
JK Tyre & Industries Ltd.,"12,151"
IndiaMART InterMESH Ltd.,"12,147"
Trident Ltd.,"12,139"
Brainbees Solutions Ltd.,"12,033"
TBO Tek Ltd.,"11,982"
JM Financial Ltd.,"11,939"
Happy Forgings Ltd.,"11,916"
Ircon International Ltd.,"11,876"
Paradeep Phosphates Ltd.,"11,874"
Minda Corporation Ltd.,"11,869"
Deepak Fertilisers & Petrochemicals Corporation Ltd.,"11,676"
Sammaan Capital Ltd.,"11,640"
Allied Blenders & Distillers Ltd.,"11,636"
